ID,county,daily_max_customers_affected,per_outage_customers_afffected,customers_served,start_time,end_time,duration
1,autauga,5,5,47209.0,2024-05-23 18:07:36,2024-05-23 20:52:35,0 days 02:44:59
2,autauga,5,4,47209.0,2024-05-23 17:10:21,2024-05-23 19:10:23,0 days 02:00:02
3,autauga,5,5,47209.0,2024-05-23 22:10:24,2024-05-23 22:10:24,0 days 00:00:00
1,baldwin,0,0,125.0,,,0 days 00:00:00
1,barbour,80,2,10875.0,2024-05-23 19:40:01,2024-05-23 20:25:01,0 days 00:45:00
2,barbour,80,80,10875.0,2024-05-23 19:55:25,2024-05-23 23:40:28,0 days 03:45:03
1,bibb,0,0,125.0,,,0 days 00:00:00
1,blount,45,12,63564.0,2024-05-23 18:10:26,2024-05-23 20:10:25,0 days 01:59:59
2,blount,45,45,63564.0,2024-05-23 22:40:25,2024-05-23 23:55:22,0 days 01:14:57
1,bullock,0,0,125.0,,,0 days 00:00:00
1,butler,0,0,125.0,,,0 days 00:00:00
1,calhoun,9,9,112438.0,2024-05-23 17:10:21,2024-05-23 20:55:25,0 days 03:45:04
2,calhoun,9,6,112438.0,2024-05-23 23:25:25,2024-05-23 23:55:22,0 days 00:29:57
1,chambers,4,4,23440.0,2024-05-23 17:40:19,2024-05-23 20:55:25,0 days 03:15:06
2,chambers,4,4,23440.0,2024-05-23 23:55:22,2024-05-23 23:55:22,0 days 00:00:00
1,cherokee,0,0,125.0,,,0 days 00:00:00
1,chilton,0,0,125.0,,,0 days 00:00:00
1,choctaw,4,4,2856.0,2024-05-23 18:55:23,2024-05-23 19:55:25,0 days 01:00:02
1,clarke,59,59,7739.0,2024-05-23 17:40:19,2024-05-23 18:55:23,0 days 01:15:04
1,clay,4,4,6371.0,2024-05-23 17:10:21,2024-05-23 17:40:19,0 days 00:29:58
1,cleburne,4,4,9686.0,2024-05-23 17:40:19,2024-05-23 23:25:25,0 days 05:45:06
1,coffee,4,4,29776.0,2024-05-23 17:10:21,2024-05-23 17:10:21,0 days 00:00:00
2,coffee,4,4,29776.0,2024-05-23 22:25:22,2024-05-23 23:25:25,0 days 01:00:03
1,colbert,0,0,-1.0,,,0 days 00:00:00
1,conecuh,0,0,125.0,,,0 days 00:00:00
1,coosa,0,0,125.0,,,0 days 00:00:00
1,covington,0,0,125.0,,,0 days 00:00:00
1,crenshaw,0,0,125.0,,,0 days 00:00:00
1,cullman,0,0,125.0,,,0 days 00:00:00
1,dale,27,27,18509.0,2024-05-23 17:10:01,2024-05-23 17:55:01,0 days 00:45:00
2,dale,27,4,18509.0,2024-05-23 17:40:19,2024-05-23 20:10:25,0 days 02:30:06
1,dallas,4,4,18400.0,2024-05-23 18:55:23,2024-05-23 19:40:21,0 days 00:44:58
1,dekalb,0,0,-1.0,,,0 days 00:00:00
1,elmore,12,12,58254.0,2024-05-23 17:10:21,2024-05-23 17:10:21,0 days 00:00:00
2,elmore,12,4,58254.0,2024-05-23 20:40:21,2024-05-23 21:10:23,0 days 00:30:02
1,escambia,4,4,23018.0,2024-05-23 17:10:21,2024-05-23 17:40:19,0 days 00:29:58
