ID,county,customers_affected,customers_served,start_time,end_time,duration
1,adams,1,27110.0,2024-05-23 03:38:10,2024-05-23 05:38:10,0 days 02:00:00
2,adams,2,6215.0,2024-05-23 17:16:49,2024-05-23 23:46:48,0 days 06:29:59
3,adams,1,235.0,2024-05-23 17:42:34,2024-05-23 18:42:36,0 days 01:00:02
4,adams,9,27110.0,2024-05-23 18:53:09,2024-05-23 19:08:08,0 days 00:14:59
5,adams,2,27110.0,2024-05-23 22:23:11,2024-05-23 23:53:10,0 days 01:29:59
1,bond,1,5159.0,2024-05-23 00:08:08,2024-05-23 00:53:08,0 days 00:45:00
1,boone,6,4320.0,2024-05-23 21:08:10,2024-05-23 21:53:09,0 days 00:44:59
2,boone,4,22137.0,2024-05-23 23:22:01,2024-05-23 23:22:01,0 days 00:00:00
1,brown,3,1858.0,2024-05-23 13:08:08,2024-05-23 13:38:07,0 days 00:29:59
2,brown,1,1858.0,2024-05-23 16:08:10,2024-05-23 16:38:08,0 days 00:29:58
1,bureau,101,9199.0,2024-05-23 07:08:08,2024-05-23 09:23:11,0 days 02:15:03
2,bureau,4,9199.0,2024-05-23 15:53:11,2024-05-23 16:38:08,0 days 00:44:57
1,calhoun,1,4625.0,2024-05-23 16:57:35,2024-05-23 17:42:34,0 days 00:44:59
1,carroll,1,6615.0,2024-05-23 00:05:16,2024-05-23 00:35:16,0 days 00:30:00
2,carroll,18,3742.0,2024-05-23 01:07:01,2024-05-23 01:37:02,0 days 00:30:01
3,carroll,39,3742.0,2024-05-23 03:37:00,2024-05-23 04:07:05,0 days 00:30:05
1,cass,1,5273.0,2024-05-23 12:53:08,2024-05-23 21:53:09,0 days 09:00:01
2,cass,1,1148.0,2024-05-23 23:57:34,2024-05-23 23:57:34,0 days 00:00:00
1,champaign,17,93527.0,2024-05-23 12:53:08,2024-05-23 16:08:10,0 days 03:15:02
2,champaign,1,93527.0,2024-05-23 17:53:08,2024-05-23 20:08:09,0 days 02:15:01
3,champaign,6,93527.0,2024-05-23 23:38:10,2024-05-23 23:53:10,0 days 00:15:00
1,christian,1,12767.0,2024-05-23 17:53:08,2024-05-23 18:23:11,0 days 00:30:03
2,christian,1,12767.0,2024-05-23 23:53:10,2024-05-23 23:53:10,0 days 00:00:00
1,clark,2,1382.0,2024-05-23 01:01:47,2024-05-23 02:31:47,0 days 01:30:00
1,clay,9,1973.0,2024-05-23 00:08:08,2024-05-23 00:53:08,0 days 00:45:00
1,clinton,17,8364.0,2024-05-23 08:08:11,2024-05-23 10:23:09,0 days 02:14:58
2,clinton,3,8364.0,2024-05-23 14:38:10,2024-05-23 16:38:08,0 days 01:59:58
3,clinton,1,2402.0,2024-05-23 16:12:34,2024-05-23 16:57:35,0 days 00:45:01
4,clinton,1,8364.0,2024-05-23 21:53:09,2024-05-23 23:08:11,0 days 01:15:02
1,coles,2,19254.0,2024-05-23 18:53:09,2024-05-23 20:08:09,0 days 01:15:00
2,coles,11,28885.0,2024-05-23 23:38:10,2024-05-23 23:53:10,0 days 00:15:00
1,cook,1748,2394901.0,2024-05-23 01:07:01,2024-05-23 23:52:03,0 days 22:45:02
1,crawford,7,6813.0,2024-05-23 18:23:11,2024-05-23 19:38:09,0 days 01:14:58
1,cumberland,801,1643.0,2024-05-23 12:08:11,2024-05-23 15:23:09,0 days 03:14:58
2,cumberland,1,1643.0,2024-05-23 19:08:08,2024-05-23 20:38:10,0 days 01:30:02
1,dekalb,4,45559.0,2024-05-23 03:22:01,2024-05-23 03:22:01,0 days 00:00:00
2,dekalb,11,45559.0,2024-05-23 13:07:06,2024-05-23 15:22:03,0 days 02:14:57
3,dekalb,4,45559.0,2024-05-23 16:52:01,2024-05-23 17:22:08,0 days 00:30:07
4,dekalb,4,45559.0,2024-05-23 20:52:03,2024-05-23 23:52:03,0 days 03:00:00
1,effingham,18,10473.0,2024-05-23 16:08:10,2024-05-23 18:38:10,0 days 02:30:00
1,fayette,2,6890.0,2024-05-23 15:23:09,2024-05-23 17:08:11,0 days 01:45:02
1,ford,1,5731.0,2024-05-23 00:08:08,2024-05-23 01:23:09,0 days 01:15:01
2,ford,1,5731.0,2024-05-23 20:23:08,2024-05-23 21:53:09,0 days 01:30:01
1,franklin,3,44912.0,2024-05-23 09:23:11,2024-05-23 13:38:07,0 days 04:14:56
2,franklin,9,44912.0,2024-05-23 14:53:08,2024-05-23 20:38:10,0 days 05:45:02
1,fulton,5,14727.0,2024-05-23 13:23:08,2024-05-23 14:23:08,0 days 01:00:00
2,fulton,1,14727.0,2024-05-23 16:38:08,2024-05-23 17:08:11,0 days 00:30:03
1,greene,1,4016.0,2024-05-23 20:23:08,2024-05-23 22:23:11,0 days 02:00:03
